gene	pval	dev_exp	fdr	significant	effect_size	regulation	pseudoDEG
15 - ILVBL	0.0006322417681695613	0.5233855957607482	0.00204940605565498	True	3.6965744208858	DOWN	False
6 - NAP1L3	0.0006420499281974967	0.4891782952098608	0.002077831482839795	True	3.140725963080507	DOWN	False
6 - CEP85	0.0006480295098421074	0.558339427352478	0.002093794862171591	True	4.308777979758312	DOWN	False
6 - AGMAT	0.0006550462090176845	0.48892223496925646	0.002113052287153821	True	3.1461094501431375	DOWN	False
18 - SLC9B2	0.0006604235961067406	0.5398747022970241	0.0021269681034033513	True	3.9386672199793673	DOWN	False
15 - POFUT2	0.0006623653322838097	0.5087470635209617	0.002129792065221253	True	3.474150321844471	DOWN	False
6 - EFHC2	0.0006651678111884163	0.497982297357922	0.0021353701803801485	True	3.368804567192614	DOWN	False
6 - WDR41	0.0006692798388076016	0.511592427362029	0.0021451276884859025	True	3.6515665885316753	DOWN	False
15 - HARS2	0.0006963119209263402	0.49831529863391577	0.0022281981469642886	True	3.344717195796918	DOWN	False
6 - JSRP1	0.0007128744789643982	0.4739308206113897	0.002277554245892646	True	2.9746797156408866	DOWN	False
6 - ZNF675	0.0007292468107484851	0.4639137770704628	0.002326146126789426	True	2.8137529358743727	DOWN	False
18 - ZRANB1	0.0007343397800579909	0.5840927830637853	0.0023386617199299075	True	4.662037290098975	DOWN	False
6 - CETN3	0.0007547824922311541	0.5235409178978094	0.002399944331418614	True	3.880660920744928	DOWN	False
18 - LARP4B	0.0007735519931110213	0.5834516194015416	0.002455720613050861	True	4.666987222779336	DOWN	False
18 - CDC16	0.0009492608528053337	0.5757450595937782	0.0030087507220454314	True	4.608320725319212	DOWN	False
15 - KBTBD3	0.0009744574123774496	0.50114832568112	0.003083725988536233	True	3.5351312945277065	DOWN	False
18 - CAPN15	0.001114992429671613	0.5768860914167129	0.0035228828741599143	True	4.683459991299167	DOWN	False
6 - DACT1	0.001136006661299982	0.4682881947679808	0.003583617228075653	True	3.148226684117323	DOWN	False
6 - PGBD2	0.0011431696134173164	0.5468234593519172	0.0036005342154876107	True	4.238804054531176	DOWN	False
15 - ATG16L1	0.0011552104718643985	0.48490266334020515	0.0036327373329069134	True	3.383124504426175	DOWN	False
6 - AGRN	0.001174133594368465	0.4754014464833941	0.003686447706023438	True	3.280106202827491	DOWN	False
6 - ALG6	0.001263414982370703	0.4397687024352419	0.003960548534077439	True	2.7384925998295717	DOWN	False
18 - ZNF609	0.0012760619302875087	0.5108975518126191	0.003993934054108008	True	3.7510892099828315	DOWN	False
18 - RASSF4	0.0013160100656182117	0.5434581776206615	0.004112531455056911	True	4.232507945273735	DOWN	False
6 - C1RL-AS1	0.001321163856725649	0.5163279779383438	0.004122196120828858	True	3.8450983938673304	DOWN	False
6 - SPAG16	0.0013575919772383926	0.46056525476268406	0.004229258496069759	True	3.0770234676421584	DOWN	False
17 - VARS2	0.0013844538640460646	0.45612359999811913	0.004306232858619174	True	3.207061079289759	DOWN	False
6 - SOCS4	0.0014297938132967758	0.4708349503336736	0.004440353457443403	True	3.304973934722619	DOWN	False
6 - WDR81	0.0014397250148630025	0.5188152656744498	0.004464263611978303	True	3.918638177946195	DOWN	False
6 - D2HGDH	0.0014878315172667245	0.4529516188315368	0.004606289527141562	True	2.9897441719953695	DOWN	False
6 - ZNF444	0.001492959865664778	0.4598232622304308	0.004615022768670102	True	3.153774650442764	DOWN	False
6 - GSTM2	0.0015624772921964958	0.4983981262627185	0.004822460778384246	True	3.64702316651213	DOWN	False
17 - EXPH5	0.0015662807631584563	0.4618668845605365	0.00482675119617398	True	3.1559818467001035	DOWN	False
6 - KIF16B	0.0016845152155068321	0.41892274205038316	0.0051831237400210214	True	2.629318886087881	DOWN	False
6 - CHST14	0.00172808116758838	0.5405799564221845	0.005309005123159386	True	4.295669455328212	DOWN	False
6 - CDKAL1	0.0017454480820223717	0.5254248388984715	0.0053541352209275205	True	4.063427499110956	DOWN	False
17 - SLC14A1	0.00178476087620405	0.4879627702739545	0.005466342652998622	True	3.6114413516500097	DOWN	False
18 - MBD1	0.0018095854575871373	0.45186968397517757	0.005533900481917851	True	3.084934194769694	DOWN	False
6 - ATAD3B	0.002010847139698013	0.4939633990779708	0.006139991266253475	True	3.690692474438345	DOWN	False
17 - TTC28	0.002020526513421883	0.4776813486842466	0.006160141809213058	True	3.6313081046966533	DOWN	False
